title,title-cleaned,titlepart2,titlepart3,titlepart4,titlepart5,type,body,body-cleaned,post-time,lat,long,attributebubbles
For you - w4m (Long Island),For you , w4m (Long Island),,,,w4m ,......................................................................................................................................................................................................................................,......................................................................................................................................................................................................................................,5/10/2016 12:26:00,,,
Redhead at Blink Bryant Park - m4m (Midtown),Redhead at Blink Bryant Park , m4m (Midtown),,,,m4m ,"Well, here goes nothin'! Hello stranger! I see you at the gym almost every time I'm there. I'm usually get there between 10:30 and 11 on weekdays. I think you're very handsome and cannot for the life of me tell if you're gay. You dress really well from what I've seen when you're coming or going. Regardless of your sexual orientation, it might be nice to have a friendly face at the gym. I guess I'm supposed to ask you what you were wearing at the gym today so I know it's really you?","Well,
here goes nothin'! Hello stranger! I see you at the gym almost every time I'm there.
I'm usually get there between 10:30
and 11 on weekdays.
I think you're very handsome
and cannot for the life of me tell if you're gay.
You dress really well from what I've seen when you're coming or going.
Regardless of your sexual orientation,
it might be nice to have a friendly face at the gym.
I guess I'm supposed to ask you what you were wearing at the gym today so I know it's really you?",5/10/2016 11:47:00,40.7538,-73.985528,body : athletic
In need of someone to talk to? - w4mw,In need of someone to talk to? , w4mw,,,,w4mw,"If you are looking to improve a romantic relationship, a family relationship, or looking to improve the relationship you have with yourself, I know that I am the one that can help.","If you are looking to improve a romantic relationship,
a family relationship,
or looking to improve the relationship you have with yourself,
I know that I am the one that can help.",5/10/2016 11:21:00,40.7484,-73.9967,
a look and a shower - m4m (Midtown West),a look and a shower , m4m (Midtown West),,,,m4m ,"you; tall at least 6'4"" athletic fit black and perhaps blatino short cropped hair saw each other in the locker room on w. 35 black tank top tight sweat pants white running shoes me; 6'3"", athletic fit, latin, dark hair , grar tight sweat pants, white shirt. smiled and glanced at you.","you; tall at least 6'4"" athletic fit black
and perhaps blatino short cropped hair saw each other in the locker room on w.
35 black tank top tight sweat pants white running shoes me; 6'3"",
athletic fit,
latin,
dark hair ,
grar tight sweat pants,
white shirt.
smiled
and glanced at you.",5/10/2016 10:53:00,40.757244,-73.995667,
Re no games? - m4w,Re no games? , m4w,,,,m4w,"I don't know if this is by who I think it's by. Maybe it is. No one discernible clue involved in that post. So shot in the dark/ What questions is one supposed to ask? Perhaps if your case is in any way similar to mine but a lot of questions can seem out of place until there's a dialogue. All I wanted was to begin a basic dialogue to see if you wanted to talk as much as I did. I obviously am interested in more than I stated. There are no words to describe how much I adore you, though even still a simple friendship is where we would begin no? Though hey at least I made a direct effort to let you know I am willing to step outside my comfort zone, even if it was a timid effort. That sure felt like asking. I understand there were no direct questions related to feelings, maybe after this I'm a bit reluctant because the answer may not be what I want to hear. You are an amazing human though, I like the poems.","I don't know if this is by who I think it's by.
Maybe it is.
No one discernible clue involved in that post.
So shot in the dark/ What questions is one supposed to ask? Perhaps if your case is in any way similar to mine but a lot of questions can seem out of place until there's a dialogue.
All I wanted was to begin a basic dialogue to see if you wanted to talk as much as I did.
I obviously am interested in more than I stated.
There are no words to describe how much I adore you,
though even still a simple friendship is where we would begin no? Though hey at least I made a direct effort to let you know I am willing to step outside my comfort zone,
even if it was a timid effort.
That sure felt like asking.
I understand there were no direct questions related to feelings,
maybe after this I'm a bit reluctant because the answer may not be what I want to hear.
You are an amazing human though,
I like the poems.",5/10/2016 10:43:00,,,
Manly-man? Bate-naked.. - w4m,Manly,man? Bate,naked.. , w4m,,man? ,"Jyrkkk to an all natural, blonde, Caucasian, five eight, one-twenty-eight, large labia, big, flat nipples, hosting in a covert, clean place. More info by request.","Jyrkkk to an all natural,
blonde,
Caucasian,
five eight,
one-twenty-eight,
large labia,
big,
flat nipples,
hosting in a covert,
clean place.
More info by request.",5/10/2016 9:25:00,0,0,
woorijip blind date - w4m,woorijip blind date , w4m,,,,w4m,"andrew, my friend, we had a funny conversation while sitting at one of the communal tables at woorijip on monday. i have a nice jewish boyfriend already but super wished i didn't. have fun in DC and sorry i didn't say i wasn't single...interested but taken. let's be friends?","andrew,
my friend,
we had a funny conversation while sitting at one of the communal tables at woorijip on monday.
i have a nice jewish boyfriend already but super wished i didn't.
have fun in DC
and sorry i didn't say i wasn't single...interested but taken.
let's be friends?",5/10/2016 9:34:00,40.7484,-73.9967,
Drinks on Columbus Avenue - m4w (UWS),Drinks on Columbus Avenue , m4w (UWS),,,,m4w ,You were at the bar having a drink with a friend. I passed you as I was leaving and made eye contact. Would love to buy you a drink too sometime.,"You were at the bar having a drink with a friend.
I passed you as I was leaving
and made eye contact.
Would love to buy you a drink too sometime.",5/2/2016 8:32:00,,,body : fit
Walking Your Dog - m4w (UES),Walking Your Dog , m4w (UES),,,,m4w ,Walking your dog yesterday on Second and 73rd or 74th. Attractive lady and talking on cell phone or I would have chatted you up.,"Walking your dog yesterday on Second
and 73rd or 74th.
Attractive lady
and talking on cell phone or I would have chatted you up.",5/3/2016 8:39:00,,,body : fit
Michelle from Jet Blue - m4w (AUA/NYC),Michelle from Jet Blue , m4w (AUA/NYC),,,,m4w ,"Hi Michelle, Your kind smile, beautiful eyes and enchanting personality warm my heart every time I see you. I will share more if you write to me. I am pretty certain that you know who I am and if you are interested in having dinner with me when you are in NYC please let me know.","Hi Michelle,
Your kind smile,
beautiful eyes
and enchanting personality warm my heart every time I see you.
I will share more if you write to me.
I am pretty certain that you know who I am
and if you are interested in having dinner with me when you are in NYC please let me know.",5/10/2016 9:13:00,40.761301,-73.975239,body : average
